agencyname,agencyabbrev,agencycode,agencyacronym,agency
Amtrak,Amtrak,,Amtrak,Amtrak
Brooklyn Bridge Park Corporation,BBPC,,BBPC,Brooklyn Bridge Park Corporation
Brooklyn Public Library,BPL,38,BPL,Brooklyn Public Library
City University of New York,CUNY,42,CUNY,City University of New York
Federal Bureau of Prisons,FBOP,,FBOP,Federal Bureau of Prisons
Hudson River Park Trust,HRPT,,HRPT,Hudson River Park Trust
Hudson Yards Development Corporation,HYDC,,HYDC,Hudson Yards Development Corporation
Metropolitan Transportation Authority,MTA,,MTA,Metropolitan Transportation Authority
New York State Department of Corrections and Community Supervision,NYSDOCCS,,NYSDOCCS,New York State Department of Corrections and Community Supervision
New York State Department of Environmental Conservation,NYSDEC,,NYSDEC,New York State Department of Environmental Conservation
New York State Department of Health,NYSDOH,,NYSDOH,New York State Department of Health
New York State Department of Transportation,NYSDOT,,NYSDOT,New York State Department of Transportation
New York State Education Department,NYSED,,NYSED,New York State Education Department
New York State Office for People With Developmental Disabilities,NYSOPWDD,,NYSOPWDD,New York State Office for People With Developmental Disabilities
New York State Office of Alcoholism and Substance Abuse Services,NYSOASAS,,NYSOASAS,New York State Office of Alcoholism and Substance Abuse Services
New York State Office of Children and Family Services,NYSOCFS,,NYSOCFS,New York State Office of Children and Family Services
New York State Office of Mental Health,NYSOMH,,NYSOMH,New York State Office of Mental Health
"New York State Office of Parks, Recreation and Historic Preservation",NYSOPRHP,,NYSOPRHP,"New York State Office of Parks, Recreation and Historic Preservation"
New York State Unified Court System,NYCOURTS,,OURTS,New York State Unified Court System
Port Authority of New York and New Jersey,PANYNJ,,PANYNJ,Port Authority of New York and New Jersey
Queens Public Library,QPL,39,QBPL,Queens Public Library
Roosevelt Island Operating Corporation,RIOC,,RIOC,Roosevelt Island Operating Corporation
Trust for Governors Island,TGI,,TGI,Trust for Governors Island
United States Coast Guard,USCG,,USCG,United States Coast Guard
United States Courts,USCOURTS,,USCOURTS,United States Courts
United States Department of Transportation,USDOT,,USDOT,United States Department of Transportation
United States National Park Service,USNPS,,USNPS,United States National Park Service
,,111,UK,Unknown
,,35,NYRL,New York Research Libraries
,,96,UK,Unknown
